"ProjectName","Coverage","CodeSmells","Bugs","Vulnerabilities","BlockerCount","TotalBlockerEffort","CriticalCount","TotalCriticalEffort","MajorCount","TotalMajorEffort","MinorCount","TotalMinorEffort"
"AHAD-Test","","34","20","0","0","0","0","0","16","116","4","20"
"CMP-AddressVerificationSolutionWebAPI","","","","","0","0","0","0","0","0","0","0"
"-lockbox.git","","","","","0","0","0","0","0","0","0","0"
"CMP-InsertEventsInCMPAPI","0.0","1259","7","0","0","0","0","0","7","70","0","0"
"CMP-PKGReturnsLoad","0.0","997","2","0","0","0","1","5","1","15","0","0"
"cmp-order-status-event-exp","","0","0","0","0","0","0","0","0","0","0","0"
"CMP-PackageReturnsUploadEvents","","","","","0","0","0","0","0","0","0","0"
"CMP-CustomerSearchBatchservice","","","","","0","0","0","0","0","0","0","0"
"CMP-LSLoadOrderService","","","","","0","0","0","0","0","0","0","0"
"CMP-DataArchiver","","","","","0","0","0","0","0","0","0","0"
"CMP-LSUpdateStatus","","","","","0","0","0","0","0","0","0","0"
"CMP-LSUploadEvents","","","","","0","0","0","0","0","0","0","0"
"CMP-DeluxeSchedulerService","0.0","70","3","0","0","0","0","0","3","30","0","0"
"CMP-PlantForeCastRestAPI","","","","","0","0","0","0","0","0","0","0"
"CMP-PlantForecastClientRestAPI","9.3","177","0","0","0","0","0","0","0","0","0","0"
"CMP-BinManagerAPI","","","","","0","0","0","0","0","0","0","0"
"CMP-BinManagerRestAPI","0.0","3976","10","1","1","10","2","10","7","80","0","0"
